query_or_cluster	ownership_type	primary_owner_sku	supporting_skus	competing_skus	overlap_risk	ownership_reason	manual_review_required
в машину для мужчины амулет	STORE_GENERIC		2271240621;2559817779		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
в машину женская дева	SKU_SPECIFIC	2271240621			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
в машину женщине подвеска	FAMILY_SHARED		2271210394		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину защита от сглаза	FAMILY_SHARED		2184153852		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину красивая подвеска	FAMILY_SHARED		1720151850		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину красивую подвеску с нашим триколором	FAMILY_SHARED		2271188511;2271251938		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
в машину кулон от сглаза	FAMILY_SHARED		2559437928		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину мужчине амулет	FAMILY_SHARED		2271188511		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на заруало	FAMILY_SHARED		1720147059		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на зеркало	STORE_GENERIC		1602717077;1611695246;1640330072;1720124782;1720131759;1720137256;1720141903;1720147059;1720153914;1720161841;2184133137;2184932293;2271270261;2271275793;2559748332		LOW	0 exact/strong owner(s); 15 family/generic supporting relation(s).	NO
в машину на зеркало для девушки	FAMILY_SHARED		2271251938		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на зеркало оберег	FAMILY_SHARED		1602717077		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на зеркало подвес	FAMILY_SHARED		2186846833		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на зеркало подвеска	STORE_GENERIC		2183985513;2186839757;2186848313;2559817779		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
в машину на зеркало подвеска в виде дракона	FAMILY_SHARED		1629493686		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на зеркало подвеска женская	FAMILY_SHARED		2183985513		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на зеркало подвеска мужская	FAMILY_SHARED		1842444165		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на зеркало подвеска четки	FAMILY_SHARED		1720137256		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на зеркало подвеска японская	FAMILY_SHARED		2186839757		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на удачу	FAMILY_SHARED		2183921966		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину на удачу очень на счастье	FAMILY_SHARED		1720137256		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину оберег	FAMILY_SHARED		2183921966		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину оберег с камнями	FAMILY_SHARED		1943215793		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину овен	SKU_SPECIFIC	1720148880			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
в машину подвес	FAMILY_SHARED		2186846833		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину подвеска	STORE_GENERIC		1636048691;1640334195;1720124782;1720137256;1720141903;1720144370;1720147059;1720148880;1720153914;1720160556;1720161841;2184199958;2186766628;2186836116;2186846833;2186852750;2271210394;2271234726;2271246783;2271270261;2271285786;2271292556		LOW	0 exact/strong owner(s); 22 family/generic supporting relation(s).	NO
в машину подвеска в салон	FAMILY_SHARED		2186857668		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину подвеска лев	SKU_SPECIFIC	2186857668			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
в машину подвеска мужская на зеркало	FAMILY_SHARED		1629493686		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину подвеска на зеркало	FAMILY_SHARED		2559748332		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину подвеска на зеркало мужская	STORE_GENERIC		1630033296;1720148880;2186836116;2271262133		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
в машину подвеска на зеркало россия	FAMILY_SHARED		2184133137		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину подвеска на зеркало с фото	FAMILY_SHARED		2186836116;2271262133		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
в машину подвеска на зеркало скорпион	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
в машину подвеска на руль автомобиля	FAMILY_SHARED		1720137256		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину подвеска э	FAMILY_SHARED		2186856503		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину подвестка на зеркало красивая	FAMILY_SHARED		1640306007		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину скорпион	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
в машину славянский	FAMILY_SHARED		2559437928		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в машину украшение на зеркало	FAMILY_SHARED		2186766628;2186850644		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
в машину фигурка водолей	SKU_SPECIFIC	2186846833			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
в машину. подвеска	FAMILY_SHARED		1720147059		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в славянской традиции	FAMILY_SHARED		2184168890		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
в славянском стиле для	FAMILY_SHARED		1630033296		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
валькнут	SKU_SPECIFIC	1611695246			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
валькнут амулет	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
валькнут коврик на пол	SKU_SPECIFIC	1611695246			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
валькнут кулон	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
валькнут подвеска в машину	SKU_SPECIFIC	1611695246			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
вегвезир	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
вегвизир в машину	SKU_SPECIFIC	1602722942			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
ведические	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
ведический амулет	FAMILY_SHARED		1640337426		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
ведьмина подвеска	STORE_GENERIC		1640326230;1720161841		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
ведьмино зеркало	STORE_GENERIC		1636041142;2271240621;2271251938		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
ведьмочка подвеска в машину обьемная	FAMILY_SHARED		1640330072		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
велес	SKU_SPECIFIC	1636041142			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
велес амулет в машину	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
велес оберег волк	SKU_SPECIFIC	1636041142			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
велес оберег мужской	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
велес оберег подвеска	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
велес подвеска	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
велес подвеска женская	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
велес. красная кровь	SKU_SPECIFIC	1636041142			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
вертолетик на зеркало уличное машины	FAMILY_SHARED		1720148880		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
весеька в машину на зеркало пахочка	FAMILY_SHARED		1720160556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
весы	FAMILY_SHARED	1720137256;2186802133;2271219774		1720137256;2186802133;2271219774	HIGH	3 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
весы авто	SKU_SPECIFIC	2271219774			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
весы амулет на стол	SKU_SPECIFIC	2186802133			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
весы в машину лексус	SKU_SPECIFIC	2186802133			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
весы знак зодиака	FAMILY_SHARED	1720137256;2186802133;2271219774		1720137256;2186802133;2271219774	HIGH	3 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
весы зодиак подвеска	SKU_SPECIFIC	2271219774			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
весы зодиака	SKU_SPECIFIC	2271219774			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
весы набор	SKU_SPECIFIC	2271219774			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
весы подвеска в автомобиль	SKU_SPECIFIC	2186802133			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
весючка в машину от зглаза на зеркало	STORE_GENERIC		1640337426;2271234726		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
вибратор	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
вибратор для песка	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
викинг подвеска в машину на зеркало	FAMILY_SHARED		1602722942		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
викинские амулет	FAMILY_SHARED		1640276582		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
виктор знак зодиака весы	SKU_SPECIFIC	1720137256			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
висюлька в машину на зеркало девушка на качельке	FAMILY_SHARED		2271188511		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
висюлька в машину на зеркало лысый кот	FAMILY_SHARED		1720137256		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
висюлька в машину на зеркало мужская 18	FAMILY_SHARED		1720124782;1720147059		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
висюлька в машину на зеркало мусульманская	FAMILY_SHARED		2186856503		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
висюлька в машину на зеркало мусульманская на грузовую	FAMILY_SHARED		1720124782;1720148880;2186857668		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
висюлька в машину на зеркало тайота четки	STORE_GENERIC		2183985513;2186848313		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
висюлька джили cityray в машину подвеска	FAMILY_SHARED		2271234726		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
висюлька на зеркало в машину ароматизатор мазда	STORE_GENERIC		1640306007;1720148880;2271270261;2559437928		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
висюлька на зеркало в машину белая пушистая	STORE_GENERIC		1630040194;1640330072;1720141903;1720144370;1720148880;1720160556;2183808182;2183985513;2184133137;2186796339;2186848313		LOW	0 exact/strong owner(s); 11 family/generic supporting relation(s).	NO
висюлька на зеркало в машину женская bmv	STORE_GENERIC		1602715556;2271270261		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
висюльки в машину на зеркало знак диака стрелец	SKU_SPECIFIC	1720124782			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
висюльки в машину на зеркало ловец снов	FAMILY_SHARED		1842444165		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
висюльки в машину на зеркало череп обезьяна	STORE_GENERIC		1629493686;1640264403;2184199958;2184234912;2271275793		LOW	0 exact/strong owner(s); 5 family/generic supporting relation(s).	NO
висюльки диско шар в машину на зеркало	FAMILY_SHARED		2271188511		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
висюльки для авто на зеркало знак зодиака лев	FAMILY_SHARED	2186857668;2271188511		2186857668;2271188511	HIGH	2 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
висюльки на зеркало в машину мужское лицо	FAMILY_SHARED		2271210394		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
висючка в машину на зеркало люстра	STORE_GENERIC		1720160556;2183985513;2184932293;2271210394;2271234726;2271275793		LOW	0 exact/strong owner(s); 6 family/generic supporting relation(s).	NO
висючка в машину на зеркало мчс	FAMILY_SHARED		2183985513		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
висюяка на зеркало в машину хавал	STORE_GENERIC		1842444165;2184932293;2186766628		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
витрина водолей	SKU_SPECIFIC	2271234726			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
во блага подвеска в машину	FAMILY_SHARED		2184932293		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
водоклей	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
водолей	FAMILY_SHARED	1720141903;2186846833;2271234726		1720141903;2186846833;2271234726	HIGH	3 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
водолей в машину	SKU_SPECIFIC	2186846833			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
водолей знак зодиака камееь	SKU_SPECIFIC	2186846833			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
водолей кулон женский	SKU_SPECIFIC	1720141903			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
водолей на распрыскиватель заачасти	SKU_SPECIFIC	1720141903			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
водолей одежда мужская	SKU_SPECIFIC	1720141903			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
водолей подвеска с камнем	SKU_SPECIFIC	1720141903			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
водолей подвеска ювелирная	SKU_SPECIFIC	2271234726			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
водолей расческа	SKU_SPECIFIC	2186846833			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
водолей украшения	SKU_SPECIFIC	2271234726			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
военная атрибутика для мужчины	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
военный оберег	FAMILY_SHARED		2183985513		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
волейбольные мячики в машину на зеркало	FAMILY_SHARED		1720161841		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
волчья лапа подвеска на зеркало в машину	FAMILY_SHARED		1611695246		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
вольного борца подвеска в машину	STORE_GENERIC		1611695246;1640334195;2271210394		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
вонючка в машину архангел михаил на зеркало	STORE_GENERIC		2184932293;2186802133;2271262133		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
вонючка в машину оберег от дпс	FAMILY_SHARED		1720131759;2186843798		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
вонючка в машину оберег от штрафа	FAMILY_SHARED		2326866320		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
вонючка дельфин в машину синяя на зеркало	STORE_GENERIC		1602715556;2183985513;2186848313		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
вонючки в авто лакост подвески на зеркало	FAMILY_SHARED		2184199958		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
ворон оберег	FAMILY_SHARED		1640264403		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
восклицательный знак на машину в красном треугольнике	FAMILY_SHARED		1720147059;2186836116		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
восклицательный знак на машину в треугольнике красный	FAMILY_SHARED		2186846833		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
все в славянском стиле	FAMILY_SHARED		2184932293		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
все для близнецов	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
все для знака зодиака дева	SKU_SPECIFIC	2186843798			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
все для славянских четок	FAMILY_SHARED		1636041142		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
вто триглав	SKU_SPECIFIC	1640264403			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
вымпел военная прокуратура в машину на зеркало	FAMILY_SHARED		1630040194		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
вымпел уголовный розыск в машину на зеркало	FAMILY_SHARED		2184153852		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
вымпелы подвески вдв в мошину	FAMILY_SHARED		1720124782		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
вышивка крестом оберегиславянские	FAMILY_SHARED		1640337426		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
гексаграмма козерог	SKU_SPECIFIC	1720147059			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
герб	SKU_SPECIFIC	2559748332			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
герб россии на зеркало деревянный в машину	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
герб рости наклека на машину	SKU_SPECIFIC	2559817779			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
гномика в машину мягкая на зеркало	FAMILY_SHARED		1720124782		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
гобелен перун	SKU_SPECIFIC	2183985513			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
год оф ва на зеркало в машину	FAMILY_SHARED		1720141903;2186857668		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
голая жеещина подвеска в машину	FAMILY_SHARED		2271188511		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
голова вуду подвеска на зеркало	STORE_GENERIC		2271270261;2559817779		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
голова хищника в машину подвеска	STORE_GENERIC		1611643847;2186796339;2271219774		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
голова хищника подвеска в машину	FAMILY_SHARED		2271285786		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
горшок дева знак зодиака	SKU_SPECIFIC	2186843798			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
горький перец брелок в машину на зеркало	FAMILY_SHARED		1720137256		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
гравити фолз в машину брелок на зеркало	FAMILY_SHARED		2186802133		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
громовик колесо	SKU_SPECIFIC	1640330072			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
громовик оберег с	SKU_SPECIFIC	1640330072			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
громовка оберег	FAMILY_SHARED		1640330072		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
гун подвеска	FAMILY_SHARED		1611643847		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
гунгнир копье не	SKU_SPECIFIC	1611643847			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
гунгнир копьем одиума	SKU_SPECIFIC	1611643847			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
гусь обнимусь подвеска на нитке в машину	FAMILY_SHARED		2559437928		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
дагестан папаха для машины на зеркало	FAMILY_SHARED		1720155616		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
даждьбог	SKU_SPECIFIC	2184932293			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
даждьбог бусина	SKU_SPECIFIC	2184932293			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дев	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
дева	FAMILY_SHARED	1720144370;2186843798;2186865070;2271240621		1720144370;2186843798;2186865070;2271240621	HIGH	4 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
дева деревянная	SKU_SPECIFIC	2271240621			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дева зеркальце	SKU_SPECIFIC	1720144370			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дева знак зодиак	SKU_SPECIFIC	2186843798			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дева знак зодиака	FAMILY_SHARED	1720144370;2186843798;2186865070;2271240621		1720144370;2186843798;2186865070;2271240621	HIGH	4 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
дева знак зодиака для девочки в машину	SKU_SPECIFIC	1720144370			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дева знак зодиака огненная серия	SKU_SPECIFIC	1720144370			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дева знак зодиака рюмки	FAMILY_SHARED	2186843798;2271240621		2186843798;2271240621	HIGH	2 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
дева знак зодиака худи	SKU_SPECIFIC	2271240621			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дева знак золиака свитшот	SKU_SPECIFIC	1720144370			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дева подвеска для мужчин	SKU_SPECIFIC	2271240621			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дева талисман	SKU_SPECIFIC	1720144370			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дева четки в машину	SKU_SPECIFIC	1720144370			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
девушка в авто назеркало	FAMILY_SHARED		2271188511;2271234726		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
девушка в машину на зеркало	FAMILY_SHARED		2271262133		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
девушкам в машину	FAMILY_SHARED		2184234912		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
девушки матрешки подвески на машину	FAMILY_SHARED		2271234726		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
декали славянские обереги	FAMILY_SHARED		1640330072		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
декор в машину подвеска	FAMILY_SHARED		2271275793		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
декоративная подвеска в авто	FAMILY_SHARED		2186850644		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
декоративная подвеска в авто на зеркало	FAMILY_SHARED		1629553898		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
декоративная подвеска в машину	STORE_GENERIC		1629553898;2271210394		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
декоративный элемент козерог	SKU_SPECIFIC	2186852750			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
декоротивная подвеска в авто	FAMILY_SHARED		2186857668		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
демон на машину подвеска на стекло маленькие	STORE_GENERIC		1602715556;1720124782;1720144370;1720151850;1720161841;2186843798;2271188511;2271210394;2271275793		LOW	0 exact/strong owner(s); 9 family/generic supporting relation(s).	NO
денежная карта талисман козерог	SKU_SPECIFIC	1720147059			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
день рождения для девы	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
дерево в машину	FAMILY_SHARED		1943215793		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
дерево граб подвеска на зеркало в машину	FAMILY_SHARED		1720141903		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
дерево жизни	SKU_SPECIFIC	1623753672			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дерево жизни валькнут	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
дерево оберег	FAMILY_SHARED		1943215793		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
дерево талисман подвеска	FAMILY_SHARED		2271262133		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянная бусина с стмволом макошь	SKU_SPECIFIC	2184133137			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
деревянная коробка для подарка мужчине	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
деревянная подвеска для кулона	FAMILY_SHARED		2186857668		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянная семаргл	SKU_SPECIFIC	2184153852			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
деревянная шкатулка старославянская	FAMILY_SHARED		1640337426		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянная языческий славянский символ на	FAMILY_SHARED		2184932293		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянное повеска для мужчин	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
деревянные знаки зодиака на шею	FAMILY_SHARED		2186857668		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянные качественные четки эзотерика	FAMILY_SHARED		1720161841		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянные обереги	STORE_GENERIC		1623753672;1720131759		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
деревянные подвески в автомобиль	STORE_GENERIC		2184133137;2271246783		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
деревянные славянские боги	FAMILY_SHARED		2183985513		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянные украшения в машину	FAMILY_SHARED		1629493686		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянные украшения на ст	FAMILY_SHARED		2186856503		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянный амуле	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
деревянный амулет	STORE_GENERIC		1623753672;2183808182;2271292556		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
деревянный оберег	FAMILY_SHARED		1720141903		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянный оберег в машину	FAMILY_SHARED		2184199958		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
деревянный оберег славянский	FAMILY_SHARED		1640337426		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
